record,bullied_in_school,bullied_not_school,cyber_bullied,custom_age,sex,physically_attacked,physical_fighting,felt_lonely,close_friends,missed_school,other_students_kind_and_helpful,parents_understand_problems,most_of_the_time_or_always_felt_lonely,missed_classes
48824,No,No,No,13 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No
32029,Yes,Yes,No,14 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No
51996,Yes,Yes,Yes,17 years old,Male,1 time,1 time,Rarely,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes
55203,Yes,Yes,No,16 years old,Male,1 time,2 or 3 times,Rarely,2,1 or 2 days,Sometimes,Most of the time,No,Yes
46513,No,No,Yes,17 years old,Male,0 times,2 or 3 times,Rarely,3 or more,0 days,Most of the time,Always,No,No
528,No,No,No,14 years old,Male,0 times,1 time,Never,1,1 or 2 days,Sometimes,Never,No,Yes
55292,No,No,No,14 years old,Male,12 or more times,12 or more times,Always,3 or more,0 days,Never,Never,Yes,No
40768,No,No,No,14 years old,Male,1 time,2 or 3 times,Never,3 or more,0 days,Sometimes,Most of the time,No,No
31901,No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Most of the time,Always,No,No
22045,No,No,No,13 years old,Male,0 times,0 times,Never,3 or more,0 days,Always,Always,No,No
6069,No,No,No,13 years old,Female,0 times,1 time,Sometimes,3 or more,1 or 2 days,Most of the time,Always,No,Yes
40004,No,No,No,13 years old,Male,0 times,2 or 3 times,Always,3 or more,3 to 5 days,Sometimes,Never,Yes,Yes
14428,Yes,Yes,Yes,14 years old,Female,0 times,0 times,Rarely,3 or more,3 to 5 days,Rarely,Rarely,No,Yes
20493,No,No,No,17 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Always,Sometimes,Yes,No
21931,No,No,Yes,15 years old,Female,0 times,0 times,Most of the time,2,3 to 5 days,Sometimes,Never,Yes,Yes
40429,No,Yes,No,14 years old,Male,0 times,0 times,Never,0,1 or 2 days,Always,Always,No,Yes
14778,No,No,No,14 years old,Male,0 times,0 times,Never,2,0 days,Most of the time,Never,No,No
41091,Yes,Yes,Yes,14 years old,Female,0 times,0 times,Rarely,3 or more,0 days,Sometimes,Sometimes,No,No
51537,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Most of the time,No,No
39248,No,No,Yes,17 years old,Male,0 times,1 time,Rarely,3 or more,3 to 5 days,Sometimes,Rarely,No,Yes
7651,Yes,Yes,Yes,15 years old,Female,8 or 9 times,0 times,Never,2,0 days,Sometimes,Never,No,No
10002,No,No,Yes,14 years old,Male,1 time,1 time,Sometimes,3 or more,1 or 2 days,Sometimes,Sometimes,No,Yes
9718,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,1 or 2 days,Most of the time,Most of the time,No,Yes
28305,No,No,No,15 years old,Male,6 or 7 times,6 or 7 times,Sometimes,3 or more,3 to 5 days,Never,Most of the time,No,Yes
23039,No,No,No,15 years old,Female,0 times,0 times,Never,1,0 days,Always,Always,No,No
24165,Yes,Yes,No,15 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Most of the time,Never,Yes,No
5210,No,No,No,16 years old,Female,0 times,0 times,Never,3 or more,0 days,Most of the time,Sometimes,No,No
27774,No,No,No,14 years old,Female,0 times,0 times,Never,3 or more,0 days,Always,Most of the time,No,No
12182,No,No,No,16 years old,Female,0 times,0 times,Sometimes,3 or more,3 to 5 days,Never,Rarely,No,Yes
27792,No,No,No,14 years old,Male,0 times,0 times,Rarely,3 or more,0 days,Always,Always,No,No
15480,Yes,No,Yes,16 years old,Male,2 or 3 times,1 time,Sometimes,3 or more,1 or 2 days,Rarely,Sometimes,No,Yes
6880,No,No,No,17 years old,Female,0 times,0 times,Sometimes,2,0 days,Most of the time,Never,No,No
25069,Yes,Yes,No,13 years old,Female,0 times,0 times,Most of the time,3 or more,0 days,Sometimes,Always,Yes,No
